#{"t_start": 1771510861.7328315, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
115.0,1907,188.580188
145.0,2879,190.066551
130.0,1955,191.093058
235.0,3123,193.061679
205.0,2105,194.03341
335.0,3115,195.492398
510.0,3219,200.875643
105.0,1183,201.685029
100.0,1905,202.88021
370.0,2151,203.922466
105.0,1645,204.697081
270.0,4053,206.641234
35.0,1157,207.202074
230.0,3193,208.795385
160.0,2499,210.091613
245.0,2405,211.340237
265.0,2001,212.376236
400.0,3837,214.374724
360.0,2855,215.880081
80.0,1281,216.541489
240.0,2235,217.708389
600.0,4139,220.161146
475.0,3781,221.914673
100.0,1971,222.848018
210.0,2561,224.093248
240.0,2429,225.277963
200.0,2465,226.5128
415.0,2775,227.927452
135.0,2161,229.030492
235.0,2463,230.484584
335.0,3419,232.321242
230.0,2433,233.453502
125.0,2797,234.79944
180.0,2283,235.903844
165.0,2037,236.911429
95.0,1579,237.697207
535.0,3449,239.452002
170.0,1949,240.451734
410.0,2977,242.322438
215.0,3197,243.833121
205.0,1961,244.758418
325.0,4057,246.696806
255.0,2543,247.941465
500.0,3569,249.72998
315.0,3197,251.362847
265.0,2895,253.098368
170.0,2109,257.341112
500.0,5109,259.937279
125.0,1971,260.863002
520.0,3171,262.382224
175.0,2123,263.422007
295.0,4771,265.818623
185.0,2837,267.273809
345.0,2787,268.889977
340.0,3263,270.689433
490.0,4637,272.845449
295.0,3601,274.579152
370.0,3249,276.181854
285.0,2711,277.54598
265.0,2301,278.712723
205.0,2039,279.768656
215.0,2045,281.022079
255.0,3267,282.74162
165.0,1991,283.667866
175.0,1827,284.534866
160.0,1997,285.494591
180.0,1903,286.425923
130.0,1169,287.000923
510.0,2935,288.472137
120.0,2055,289.519158
150.0,2017,290.555382
170.0,2025,291.80272
355.0,3533,293.700429
255.0,2941,295.074496
165.0,2099,296.070904
275.0,3197,297.62234
395.0,2835,299.026277
180.0,1873,299.966054
95.0,1529,300.737524
145.0,1783,301.652318
405.0,3215,303.438163
145.0,2239,304.756261
75.0,1563,305.488985
160.0,2049,306.45922
120.0,2201,307.519517
190.0,1889,311.381336
140.0,2043,312.674598
