#{"t_start": 1771510861.7328315, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
450.0,3627,1470.552989
520.0,3893,1472.914363
490.0,3823,1474.710643
200.0,2237,1475.795937
385.0,3071,1477.308893
745.0,3668,1479.150035
600.0,4003,1481.191602
605.0,3455,1483.324855
310.0,2599,1484.56603
475.0,3433,1486.199527
370.0,2685,1487.539031
340.0,2439,1488.762757
235.0,2717,1490.14931
245.0,2327,1491.336766
370.0,2833,1493.069585
350.0,2481,1494.403116
215.0,2331,1495.498865
735.0,3343,1497.116016
495.0,3129,1498.671867
320.0,2993,1500.173303
355.0,3347,1501.889749
700.0,3951,1504.141726
300.0,2013,1505.327914
580.0,2753,1506.62261
505.0,3577,1508.340498
1040.0,6217,1511.41745
545.0,4845,1513.887761
545.0,4073,1516.224093
465.0,3441,1518.064127
195.0,2045,1519.024833
555.0,4743,1521.325631
435.0,3557,1528.544898
320.0,2975,1530.413632
260.0,2317,1531.492452
400.0,3709,1533.261184
870.0,5611,1536.169047
555.0,3301,1538.028291
115.0,1351,1538.821041
250.0,1961,1540.074748
515.0,3373,1541.79799
215.0,2573,1543.030797
675.0,3399,1544.671213
455.0,3145,1546.236393
375.0,2241,1547.38976
315.0,2795,1548.823974
655.0,3253,1550.681188
725.0,3531,1552.630532
345.0,3073,1554.088173
180.0,2037,1555.086173
595.0,3473,1556.824811
205.0,2533,1558.106935
390.0,3901,1560.10546
430.0,3359,1562.000652
715.0,3545,1564.033724
480.0,3985,1565.929511
370.0,2933,1567.377068
380.0,3035,1568.885729
575.0,4377,1571.089107
610.0,4185,1573.246826
495.0,3609,1575.432912
490.0,3803,1577.22812
400.0,3389,1578.870039
570.0,4203,1586.821257
725.0,3775,1589.080915
360.0,3325,1590.653451
590.0,2757,1591.99626
610.0,3075,1593.507971
570.0,3715,1595.346738
525.0,3721,1597.23781
580.0,4841,1600.030481
390.0,3005,1601.443522
575.0,4073,1603.393206
305.0,3069,1604.913262
380.0,3161,1606.514065
480.0,3121,1608.139369
205.0,1903,1609.362759
355.0,2156,1610.611991
470.0,3537,1612.269557
185.0,1965,1613.227812
610.0,4295,1615.335951
140.0,1869,1616.269951
570.0,3743,1618.176657
225.0,2453,1619.448291
365.0,2455,1621.075093
235.0,2389,1622.578532
495.0,2983,1624.011801
275.0,2273,1625.103272
695.0,3599,1626.851287
530.0,2415,1628.061435
515.0,3867,1630.026983
345.0,2643,1631.386407
450.0,3273,1633.568998
330.0,3143,1635.252141
225.0,2261,1636.336642
370.0,2600,1637.59775
325.0,2284,1638.739765
600.0,2967,1644.336077
630.0,3415,1646.245463
465.0,2481,1647.424843
110.0,1647,1648.223575
325.0,2775,1649.58019
295.0,2651,1650.901677
720.0,3265,1652.567788
270.0,2447,1653.831008
545.0,4079,1656.203131
360.0,3163,1657.795068
445.0,2974,1659.208624
600.0,4477,1661.452383
355.0,2823,1662.883105
460.0,3703,1664.777722
455.0,3063,1666.711684
525.0,3279,1668.386235
290.0,2301,1669.487086
380.0,2309,1670.607598
845.0,5675,1673.413703
725.0,3872,1675.384188
360.0,2976,1677.062176
550.0,3793,1679.18605
490.0,3681,1680.9227
440.0,3891,1682.820528
510.0,3787,1684.740682
355.0,3182,1686.383862
475.0,3093,1688.039879
775.0,4009,1690.792784
360.0,3425,1692.417247
600.0,4767,1694.861421
460.0,3787,1704.517171
445.0,3958,1706.707315
600.0,3293,1708.264392
800.0,4213,1710.304696
600.0,4345,1712.469256
630.0,4701,1714.861609
810.0,4529,1717.517256
1145.0,6465,1720.64273
600.0,3039,1722.134187
510.0,4247,1724.262649
770.0,5367,1727.239497
410.0,2937,1728.873004
350.0,3133,1730.360201
1000.0,4281,1732.425853
800.0,4039,1734.431086
485.0,3521,1736.22894
745.0,4235,1738.456
495.0,3831,1740.718446
500.0,3489,1742.353825
555.0,3183,1743.890229
185.0,1863,1744.810716
740.0,4572,1747.095233
525.0,4243,1749.263241
405.0,3243,1751.145199
375.0,3023,1752.848696
700.0,4815,1755.11375
140.0,1857,1763.736718
445.0,3055,1765.670645
660.0,4437,1767.907186
570.0,3941,1769.857149
555.0,5107,1772.39737
770.0,3531,1774.203051
710.0,5399,1777.277337
355.0,3275,1778.822819
395.0,3291,1780.430409
770.0,4925,1782.86644
605.0,3439,1784.621561
455.0,2873,1786.367104
1085.0,6167,1789.447755
505.0,3449,1791.119318
665.0,4215,1793.241962
775.0,5284,1795.951078
800.0,3433,1798.044761
325.0,2827,1799.369164
610.0,3553,1801.077873
235.0,2619,1802.36571
260.0,2253,1803.485108
445.0,2932,1804.96707
305.0,2529,1806.274364
895.0,4113,1809.032261
575.0,4511,1811.235245
655.0,3577,1813.010994
360.0,2572,1814.437357
445.0,3542,1823.852717
600.0,4345,1826.410499
440.0,3949,1828.282485
745.0,4081,1830.264495
570.0,3386,1831.958254
750.0,4691,1834.351745
1260.0,7969,1838.675515
600.0,4609,1840.905144
745.0,2956,1842.363185
670.0,2903,1843.841199
335.0,2395,1845.082156
380.0,3685,1847.196949
560.0,3357,1849.095284
800.0,4219,1851.082918
475.0,3365,1852.703773
615.0,3731,1854.56513
885.0,6065,1857.701749
575.0,3715,1859.962491
940.0,3457,1861.601017
365.0,2803,1862.958706
295.0,2681,1864.289276
500.0,3747,1866.183452
450.0,3457,1867.953711
830.0,3269,1869.814192
745.0,5595,1872.771567
460.0,3563,1874.49261
355.0,2797,1875.885104
280.0,2669,1883.776832
465.0,3601,1885.632436
400.0,3087,1887.110182
810.0,4797,1889.456307
420.0,3897,1891.423365
525.0,4185,1893.591491
445.0,3691,1895.809165
375.0,3073,1897.258964
750.0,3737,1899.064689
415.0,2357,1900.239802
555.0,2391,1901.45429
465.0,3701,1903.347838
450.0,3833,1905.660133
520.0,3567,1907.34832
415.0,3379,1908.986014
800.0,4213,1911.057843
665.0,3377,1912.757368
500.0,3601,1914.78966
655.0,3703,1916.828489
680.0,3073,1918.287994
725.0,3521,1919.990215
500.0,3829,1922.026618
505.0,4133,1924.158368
455.0,3887,1926.382782
890.0,5352,1929.177759
770.0,4113,1931.157956
755.0,4219,1933.350938
480.0,3417,1942.960271
990.0,6751,1946.494667
555.0,3254,1948.077333
1580.0,6939,1951.555698
710.0,4069,1953.691416
775.0,3961,1956.033595
575.0,3722,1957.759315
435.0,2721,1959.069135
450.0,3351,1960.711251
440.0,3417,1962.423307
465.0,3571,1964.287843
550.0,4483,1966.887678
695.0,5339,1969.408205
755.0,3784,1971.257566
500.0,3561,1973.168432
630.0,3851,1975.19552
685.0,4117,1977.860177
570.0,4154,1979.833516
805.0,4627,1982.061809
600.0,4339,1984.238079
570.0,2412,1985.483629
345.0,3279,1987.473943
495.0,3817,1989.704825
495.0,3943,1991.68211
600.0,4251,1994.076216
930.0,5738,2004.791515
605.0,4289,2006.900324
990.0,6203,2009.952339
800.0,5573,2012.790289
570.0,4103,2015.221319
775.0,3735,2016.961717
575.0,3449,2018.624384
390.0,2441,2019.812734
385.0,3077,2021.362754
735.0,5133,2024.002333
570.0,5037,2026.879873
170.0,1967,2027.805815
1020.0,5807,2030.647193
805.0,4675,2033.070826
585.0,4121,2035.348732
515.0,3985,2037.488434
470.0,4325,2039.633422
600.0,4747,2041.965592
355.0,2565,2043.253598
715.0,4751,2045.7436
470.0,3617,2047.887624
320.0,2509,2049.181129
680.0,3497,2050.904741
560.0,3695,2052.74018
540.0,4280,2061.686757
1030.0,5405,2064.823266
395.0,3183,2066.319729
490.0,3585,2068.109098
520.0,3463,2069.862947
685.0,3245,2071.506428
935.0,6601,2075.117837
1360.0,9211,2079.678584
605.0,4221,2081.840862
600.0,3917,2084.054169
575.0,4741,2086.518832
490.0,3213,2088.073793
265.0,2161,2089.12421
600.0,4205,2091.207761
600.0,4065,2093.263824
330.0,2476,2094.55718
875.0,6422,2098.094153
515.0,4321,2100.140168
525.0,4086,2102.166122
730.0,5635,2105.02777
945.0,3742,2107.192443
600.0,3897,2109.129302
95.0,1565,2109.871302
485.0,2999,2111.327377
515.0,3680,2113.145468
545.0,3199,2121.709261
600.0,4601,2124.05197
930.0,5209,2126.567149
455.0,3997,2128.538024
515.0,3912,2130.505432
695.0,3699,2132.438516
585.0,3794,2134.768355
350.0,2937,2136.15958
1175.0,6569,2139.36888
360.0,2503,2140.617826
545.0,4465,2142.899228
800.0,3951,2145.233854
600.0,3521,2146.936311
525.0,3609,2148.659612
270.0,2684,2149.990438
545.0,3785,2151.875383
420.0,3601,2153.750602
545.0,3393,2155.627153
570.0,3947,2157.656609
570.0,3986,2160.01426
770.0,4403,2162.087322
605.0,3294,2163.672021
455.0,2539,2164.925191
720.0,4593,2167.245776
600.0,3985,2169.452616
440.0,2867,2171.168035
